id,name,model_id/id,group_id/id,perm_read,perm_write,perm_create,perm_unlink
access_esg_emission_source_model,access_esg_emission_source_model,model_esg_emission_source,esg.esg_group_user,1,1,1,1
access_esg_gas,esg.gas,model_esg_gas,esg.esg_group_user,1,1,1,1
access_esg_activity_type_model,access_esg_activity_type_model,model_esg_activity_type,esg.esg_group_user,1,1,1,1
access_esg_assignation_line_model,access_esg_assignation_line_model,model_esg_assignation_line,esg.esg_group_user,1,1,1,1
access_esg_emission_factor_model,access_esg_emission_factor_model,model_esg_emission_factor,esg.esg_group_user,1,1,1,1
access_esg_emission_factor_line_model,access_esg_emission_factor_line_model,model_esg_emission_factor_line,esg.esg_group_user,1,1,1,1
access_esg_database_model,access_esg_database_model,model_esg_database,esg.esg_group_user,1,1,0,0
access_esg_database_model_admin,access_esg_database_model_admin,model_esg_database,esg.esg_group_manager,1,1,1,1
access_factors_auto_assignment_wizard_model,access_factors_auto_assignment_wizard_model,model_factors_auto_assignment_wizard,esg.esg_group_user,1,1,1,0
access_esg_other_emission_model,access_esg_other_emission_model,model_esg_other_emission,esg.esg_group_user,1,1,1,1
access_esg_carbon_emission_report_model,access_esg_carbon_emission_report_model,model_esg_carbon_emission_report,esg.esg_group_user,1,1,1,1
