id,name,state_id:id,country_id:id
city_au_01,Adelaide,base.state_au_5,base.au
city_au_02,Albany,base.state_au_8,base.au
city_au_03,Albury,base.state_au_2,base.au
city_au_04,Alice Springs,base.state_au_3,base.au
city_au_05,Ararat,base.state_au_7,base.au
city_au_06,Armidale,base.state_au_2,base.au
city_au_07,Ayr,base.state_au_4,base.au
city_au_08,Bairnsdale,base.state_au_7,base.au
city_au_09,Ballarat,base.state_au_7,base.au
city_au_10,Bathurst,base.state_au_2,base.au
city_au_11,Bega,base.state_au_2,base.au
city_au_12,Benalla,base.state_au_7,base.au
city_au_13,Bendigo,base.state_au_7,base.au
city_au_14,Bordertown,base.state_au_5,base.au
city_au_15,Bourke,base.state_au_2,base.au
city_au_16,Bright,base.state_au_7,base.au
city_au_17,Brisbane,base.state_au_4,base.au
city_au_18,Broken Hill,base.state_au_2,base.au
city_au_19,Broome,base.state_au_8,base.au
city_au_20,Bunbury,base.state_au_5,base.au
city_au_21,Bundaberg,base.state_au_4,base.au
city_au_22,Burnie,base.state_au_6,base.au
city_au_23,Cairns,base.state_au_4,base.au
city_au_24,Canberra,base.state_au_1,base.au
city_au_25,Carnarvon,base.state_au_8,base.au
city_au_26,Castlemaine,base.state_au_7,base.au
city_au_27,Ceduna,base.state_au_5,base.au
city_au_28,Charters Towers,base.state_au_4,base.au
city_au_29,Chinchilla,base.state_au_4,base.au
city_au_30,Christmas Island,base.state_au_8,base.au
city_au_31,Cobar,base.state_au_2,base.au
city_au_32,Cocos Islands,base.state_au_8,base.au
city_au_33,Coffs Harbour,base.state_au_2,base.au
city_au_34,Colac,base.state_au_7,base.au
city_au_35,Cooma,base.state_au_2,base.au
city_au_36,Cowra,base.state_au_2,base.au
city_au_37,Dalby,base.state_au_4,base.au
city_au_38,Dampier,base.state_au_8,base.au
city_au_39,Darwin,base.state_au_3,base.au
city_au_40,Derby,base.state_au_8,base.au
city_au_41,Devonport,base.state_au_6,base.au
city_au_42,Dubbo,base.state_au_2,base.au
city_au_43,Echuca,base.state_au_7,base.au
city_au_44,Emerald,base.state_au_4,base.au
city_au_45,Esperance,base.state_au_8,base.au
city_au_46,Exmouth,base.state_au_8,base.au
city_au_47,Geelong,base.state_au_7,base.au
city_au_48,Geraldton,base.state_au_8,base.au
city_au_49,Gladstone,base.state_au_4,base.au
city_au_50,Gold Coast,base.state_au_4,base.au
city_au_51,Gosford,base.state_au_2,base.au
city_au_52,Goulburn,base.state_au_2,base.au
city_au_53,Grafton,base.state_au_2,base.au
city_au_54,Griffith,base.state_au_2,base.au
city_au_55,Gunnedah,base.state_au_2,base.au
city_au_56,Halls Creek,base.state_au_8,base.au
city_au_57,Hamilton,base.state_au_7,base.au
city_au_58,Hervey Bay,base.state_au_4,base.au
city_au_59,Hobart,base.state_au_6,base.au
city_au_60,Horn Island,base.state_au_4,base.au
city_au_61,Horsham,base.state_au_7,base.au
city_au_62,Innisfail,base.state_au_4,base.au
city_au_63,Inverell,base.state_au_2,base.au
city_au_64,Jabiru,base.state_au_3,base.au
city_au_65,Kadina,base.state_au_5,base.au
city_au_66,Kalgoorlie,base.state_au_8,base.au
city_au_67,Karratha,base.state_au_8,base.au
city_au_68,Katherine,base.state_au_3,base.au
city_au_69,Kingaroy,base.state_au_4,base.au
city_au_70,Kununurra,base.state_au_8,base.au
city_au_71,Launceston,base.state_au_6,base.au
city_au_72,Lismore,base.state_au_2,base.au
city_au_73,Mackay,base.state_au_4,base.au
city_au_74,Maitland,base.state_au_2,base.au
city_au_75,Maryborough,base.state_au_4,base.au
city_au_76,Melbourne,base.state_au_7,base.au
city_au_77,Mildura,base.state_au_7,base.au
city_au_78,Mount Gambier,base.state_au_5,base.au
city_au_79,Mount Isa,base.state_au_4,base.au
city_au_80,Mudgee,base.state_au_2,base.au
city_au_81,Muswellbrook,base.state_au_2,base.au
city_au_82,Nambour,base.state_au_4,base.au
city_au_83,Naracoorte,base.state_au_5,base.au
city_au_84,Narrabri,base.state_au_2,base.au
city_au_85,Newcastle,base.state_au_2,base.au
city_au_86,Newman,base.state_au_8,base.au
city_au_87,Nhulunbuy,base.state_au_3,base.au
city_au_88,Norfolk Island,base.state_au_2,base.au
city_au_89,Northam,base.state_au_8,base.au
city_au_90,Nowra,base.state_au_2,base.au
city_au_91,Orange,base.state_au_2,base.au
city_au_92,Perth,base.state_au_8,base.au
city_au_93,Port Augusta,base.state_au_5,base.au
city_au_94,Port Hedland,base.state_au_8,base.au
city_au_95,Port Lincoln,base.state_au_5,base.au
city_au_96,Port Macquarie,base.state_au_2,base.au
city_au_97,Port Pirie,base.state_au_5,base.au
city_au_98,Portland,base.state_au_7,base.au
city_au_99,Queanbeyan,base.state_au_2,base.au
city_au_100,Queenstown,base.state_au_6,base.au
city_au_101,Renmark,base.state_au_5,base.au
city_au_102,Rockhampton,base.state_au_4,base.au
city_au_103,Roma,base.state_au_4,base.au
city_au_104,Sale,base.state_au_7,base.au
city_au_105,Seymour,base.state_au_7,base.au
city_au_106,Shepparton,base.state_au_7,base.au
city_au_107,Swan Hill,base.state_au_7,base.au
city_au_108,Sydney,base.state_au_2,base.au
city_au_109,Tamworth,base.state_au_2,base.au
city_au_110,Taree,base.state_au_2,base.au
city_au_111,Tennant Creek,base.state_au_3,base.au
city_au_112,Thursday Island,base.state_au_4,base.au
city_au_113,Toowoomba,base.state_au_4,base.au
city_au_114,Townsville,base.state_au_4,base.au
city_au_115,Tumut,base.state_au_2,base.au
city_au_116,Wagga Wagga,base.state_au_2,base.au
city_au_117,Wangaratta,base.state_au_7,base.au
city_au_118,Warrnambool,base.state_au_7,base.au
city_au_119,Weipa,base.state_au_4,base.au
city_au_120,Whyalla,base.state_au_5,base.au
city_au_121,Wilpena-Pound,base.state_au_5,base.au
city_au_122,Wodonga,base.state_au_7,base.au
city_au_123,Wollongong,base.state_au_2,base.au
city_au_124,Wonthaggi,base.state_au_7,base.au
city_au_125,Yulara,base.state_au_3,base.au
