id,name,name@zh_HK,registration_number
"l10n_hk_mt00172","AIA MPF - Prime Value Choice","友邦強積金優選計劃","MT00172"
"l10n_hk_mt00539","AMTD MPF Scheme AMTD","強積金計劃","MT00539"
"l10n_hk_mt00393","BCOM Joyful Retirement MPF Scheme","交通銀行愉盈退休強積金計劃","MT00393"
"l10n_hk_is00017","BCT (MPF) Industry Choice","BCT(強積金)行業計劃","IS00017"
"l10n_hk_mt00016","BCT (MPF) Pro Choice","BCT 積金之選","MT00016"
"l10n_hk_mt00075","BCT Strategic MPF Scheme","BCT強積金策略計劃","MT00075"
"l10n_hk_is00025","BEA (MPF) Industry Scheme","東亞(強積金)行業計劃","IS00025"
"l10n_hk_mt00202","BEA (MPF) Master Trust Scheme","東亞(強積金)集成信託計劃","MT00202"
"l10n_hk_mt00571","BEA (MPF) Value Scheme","東亞(強積金)享惠計劃","MT00571"
"l10n_hk_mt00091","BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme","中銀保誠簡易強積金計劃","MT00091"
"l10n_hk_mt00083","China Life MPF Master Trust Scheme","中國人壽強積金集成信託計劃","MT00083"
"l10n_hk_mt00288","Fidelity Retirement Master Trust","富達退休集成信託","MT00288"
"l10n_hk_mt00121","Haitong MPF Retirement Fund","海通 MPF 退休金","MT00121"
"l10n_hk_mt00253","Hang Seng Mandatory Provident Fund - SuperTrust Plus","恒生強積金智選計劃","MT00253"
"l10n_hk_mt00245","HSBC Mandatory Provident Fund - SuperTrust Plus","滙豐強積金智選計劃","MT00245"
"l10n_hk_mt00482","Manulife Global Select (MPF) Scheme","宏利環球精選(強積金)計劃","MT00482"
"l10n_hk_mt00490","Manulife RetireChoice (MPF) Scheme","宏利退休精選(強積金)計劃","MT00490"
"l10n_hk_mt00350","MASS Mandatory Provident Fund Scheme","萬全強制性公積金計劃","MT00350"
"l10n_hk_mt00547","My Choice Mandatory Provident Fund Scheme","我的強積金計劃","MT00547"
"l10n_hk_mt00504","Principal MPF - Simple Plan","信安強積金 - 易富之選","MT00504"
"l10n_hk_mt00180","Principal MPF - Smart Plan","信安強積金 - 明智之選","MT00180"
"l10n_hk_mt00059","Principal MPF Scheme Series 800","信安強積金計劃800系列","MT00059"
"l10n_hk_es00020","SHKP MPF Employer Sponsored Scheme","新地強積金僱主營辦計劃","ES00020"
"l10n_hk_mt00067","Sun Life Rainbow MPF Scheme","永明彩虹強積金計劃","MT00067"
